hour,day_shift,week_day,weekend,COZINHA_SENSOR_PRESENCA-021,COZINHA_CAFETEIRA-020,COZINHA_LAMPADA-019,switch,switch_Y
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
9,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
10,1,2,0,OFF,OFF,ON,OFF,OFF
